"X_index","X_uuid","reported_date"
68,"500afacc-6432-4641-99db-80b2215b05d7",2020-02-13
69,"8b479381-7e89-44f1-8765-64ee952d48cb",2020-02-13
70,"084ee0dd-be67-46f8-89ed-7e8a1bc9fe2c",2020-02-13
71,"c0c86fad-7ea9-4435-849e-f474b60c689b",2020-02-13
72,"6701f226-5a43-4475-ba11-f5b63cab3783",2020-02-13
73,"eda3edbb-cc65-46c8-8a4a-b32ab3fe5e3e",2020-02-13
74,"0a3496bf-fe13-410b-bbec-9c4a6abc5dfe",2020-02-13
75,"c73a733a-312d-472e-948f-e8ce1b1414f7",2020-02-13
76,"88cac2f7-e64c-4271-8e07-50ec052a921e",2020-02-13
77,"91213f34-2120-4438-85fb-dc02085d5361",2020-02-13
78,"21e56b70-11ad-40fb-9bde-feac733611e6",2020-02-13
79,"a702ceb3-f8af-4db4-9989-390589c8d01f",2020-02-13
80,"d1952051-90cd-48d5-908e-9aa678a0d637",2020-02-13
81,"a115cb0c-f974-44ea-beff-b9f8b8c4f373",2020-02-13
82,"2aa3ed38-bc59-4dfb-b84c-36fc1ac4a126",2020-02-13
83,"8c419573-a01b-423a-ae29-e420569e76c6",2020-02-13
84,"66afddaf-5a56-45cd-aa03-d76fbdc14e14",2020-02-16
85,"53165237-981b-4685-9486-9505bca94823",2020-02-16
86,"00b854ee-8017-4522-a3e2-309856ec4f65",2020-02-16
87,"f70f346a-b0ea-41f7-9f09-7f008386e6f0",2020-02-16
88,"4345b640-5cd5-486a-92d1-cd3265f9060e",2020-02-16
89,"04f34db9-09d1-41c0-b79f-967a87ba8d6e",2020-02-16
90,"a75c2f85-3ae7-44db-800d-97dd3509a764",2020-02-16
91,"3885c677-cc9b-402b-ac93-c36a39c9b62a",2020-02-16
92,"c2b05684-2954-4e46-aa3e-792800537c45",2020-02-16
93,"146183c9-6345-4e80-8a9c-107c1e4e20cf",2020-02-16
94,"d0e9cb28-7fdd-4b1d-b99b-0a533ee54235",2020-02-16
95,"d35a6673-c09f-4c8b-b41e-e01f52deb0bf",2020-02-16
96,"f6f5c859-efe6-4614-b5e5-dc8ab9aabdd3",2020-02-16
97,"90cb5a21-560c-44c7-b469-dfbe8bfef9f0",2020-02-16
98,"9478926f-bc03-478e-8681-4c8484504e0a",2020-02-16
99,"41fd7afb-3460-4f71-a707-8d6393a4d6b5",2020-02-16
100,"568950ad-bbbd-4ec8-86e0-5c154e414d14",2020-02-16
101,"a76c5bc7-0b9d-48c6-9269-e7c519f4d06d",2020-02-16
102,"a24fde04-d4a2-4695-8f37-c9c5bb31db8f",2020-02-16
103,"be03a88e-2549-42ed-b103-5f9a61a14b88",2020-02-16
104,"eaf94087-76d7-42f0-9b07-714a71887222",2020-02-16
105,"d1ca4ccf-2145-4f17-a6e1-de31d8ce5f36",2020-02-16
106,"6688c25e-7b5f-4bd1-8d14-75ddb21116d6",2020-02-16
107,"898a6553-7098-4351-a89c-bcd86b8424c5",2020-02-16
108,"e304e332-e4b9-4102-9200-012abc5561d7",2020-02-16
109,"7c5a9df4-76c7-44a3-b722-1e037614867d",2020-02-16
110,"801386fa-cc6a-4a2c-991e-feb69a766a9f",2020-02-16
111,"4abed2c8-c600-4898-8617-9b7733b54756",2020-02-16
112,"6da0d037-95d9-425b-aad6-b131c6b167dd",2020-02-16
113,"9a83ba8b-c283-4146-8d00-4e405a867e3a",2020-02-16
114,"b20b4dea-3ed2-48c3-8892-0e58dd38c575",2020-02-16
115,"b61f036e-3ab8-4bba-ae72-2c4b05aa5351",2020-02-16
116,"055ae501-2c2c-41c8-8c67-4f8f53b19af1",2020-02-16
117,"a67a0a06-ec2b-4640-8c83-fc178745c158",2020-02-16
118,"380a2775-e053-4bc7-b04b-ecddc7fe766f",2020-02-16
119,"a8f08434-78fc-48e6-98aa-132e5c496607",2020-02-16
120,"3381db3a-4804-4a1d-925f-e0d4735b50ff",2020-02-16
121,"386c90e0-b9c5-4e6e-b501-9b5226732f9b",2020-02-16
122,"1d17b181-64fc-4813-b4b8-a46ac0f3744e",2020-02-16
123,"02cf81a9-7bc7-4bd5-bf76-9c09b723510b",2020-02-16
124,"c3abd529-0cf5-4b39-a2d7-fe98e4eaf67f",2020-02-16
125,"fe67ad3b-b3cf-44a8-ab80-81057eedf605",2020-02-16
126,"8dc3dd12-9ea4-4140-a43d-8e04f5328521",2020-02-16
127,"584d7a82-87a6-45cf-9bfa-2f48c8402f9d",2020-02-16
128,"d8998312-4f62-4410-8e7b-27cbf12e7ace",2020-02-16
129,"efb241c0-d8e1-4443-9fb5-a065cbd2125d",2020-02-16
130,"a851ee1a-61ee-4ff1-8c0f-353764ad5c18",2020-02-16
131,"2208567c-0818-4530-890a-778ee1070b60",2020-02-16
132,"a40b31fc-1122-4ef1-91ea-1fa0d05b63aa",2020-02-16
133,"22c1521d-4888-47f6-9900-526c5f278253",2020-02-16
134,"09dc41f8-ff00-450d-9878-a8ecdad4edaf",2020-02-16
135,"0a99b51f-53f3-450c-a6b9-310e601a9cc3",2020-02-16
136,"c793d6ee-4a90-4805-a362-bb691eb0fdc2",2020-02-16
137,"568b6c9c-9a60-448f-9983-061161351b23",2020-02-16
138,"84a3d68e-0532-4b2b-9553-5b59170af14e",2020-02-16
139,"03314bde-5747-417b-a553-b0dfe769b28d",2020-02-16
140,"fbb735b2-0228-47cf-82ab-61655f8445e8",2020-02-16
141,"4cda78de-7e73-4f8c-b317-cac5ea01b501",2020-02-16
142,"d7506f8f-5193-4e81-871a-92dbd90a5d97",2020-02-16
143,"24aefa9a-1fa6-4f82-990f-630c429e5040",2020-02-16
144,"7ff6c5c8-8b38-4f5f-913b-a2f26fd755f4",2020-02-16
145,"9483c5fa-b556-4feb-b4e1-2586b2ad6683",2020-02-16
146,"c795b796-0c2b-48d3-aa01-9090e20a9de1",2020-02-16
147,"46294cc8-eae7-450d-8262-6f3c8bf31238",2020-02-16
148,"ed4a736f-dd73-46c6-a5f5-ab384058ee14",2020-02-16
149,"28d11e4a-d239-4b76-8daa-10520d0c8cc9",2020-02-16
150,"a30f99ab-716c-4bc2-8b79-f1ec102a7ebb",2020-02-16
151,"9d8ab630-9eed-4c78-9f94-6120e7826a2b",2020-02-16
152,"f9aa3b7c-5d19-4862-b20f-423a0f13eb6a",2020-02-16
153,"d55fae1c-5ea7-4a72-a06a-644f25be95ab",2020-02-16
154,"b380f9ba-5445-49a5-98b4-9f677c2125e5",2020-02-16
155,"fc346b7f-2af7-410f-b6f4-1efb8cccfa19",2020-02-16
156,"41016da4-bd3a-4c62-afec-e2891aa60143",2020-02-16
157,"0cb1fe0d-9eb9-4603-80d6-5e127af05512",2020-02-16
158,"272139a4-d993-4a58-8181-8e445a84bcf6",2020-02-16
159,"04a306e1-178e-42c4-a02d-9d43c04bc89f",2020-02-16
160,"f02f47f0-ce33-42c6-82a2-3cfe3d25644b",2020-02-16
161,"f7dd57c8-bf72-40ec-aa5c-961419f66aa5",2020-02-16
162,"53783a26-c7c1-4134-a465-68a73e23b867",2020-02-16
163,"9fa66c40-ef99-4303-adb4-c03c6146eeaf",2020-02-16
164,"46de956b-9830-4d91-a4ae-a49abd3a4ad2",2020-02-16
165,"7f16fee7-e437-4f10-9761-b977becdb6ea",2020-02-16
166,"c8f98882-75f6-4520-8c2f-4dfd7ac61e55",2020-02-16
167,"d8b1c224-1ff8-428e-b000-236ad3cb36b6",2020-02-16
168,"24a284d6-996e-407d-8f23-7cd70c625ef3",2020-02-16
169,"6c8b8326-cd82-44b9-84fd-7fec06b64059",2020-02-16
170,"11575688-9f0d-4478-805f-fda5cc8175c8",2020-02-16
171,"3e014208-085d-4346-9374-45dab99417c7",2020-02-16
172,"1c64ea8b-fa7f-4be4-9bcc-cf96b47933f3",2020-02-17
173,"09655c2c-8e27-4e12-94e4-fa03bd92b85b",2020-02-17
