"X_index","X_uuid","reported_date"
44,"ebe0ea06-6e06-4131-ba7a-4ecd4f963046",2020-02-13
45,"01ac3811-5978-41a9-9c3c-38c89883c094",2020-02-13
46,"c27bb329-973c-4d0a-959a-752dbc568de9",2020-02-13
47,"550a4288-94e2-4f0c-9361-69e20a5a0180",2020-02-13
48,"ab0b74d3-8e1c-4695-b560-200094e1d8b0",2020-02-13
49,"b10c07bb-f4dc-4555-a3d9-4b8fac9fbcea",2020-02-13
50,"e61a3d9f-2e12-452c-86ba-571a6f624ce8",2020-02-13
51,"ebb62438-6647-4c4c-8ba8-0f94f4ee958c",2020-02-13
52,"7864a2e6-7716-4efd-b3d4-5c5962f36c31",2020-02-13
53,"4b708f09-71e6-4934-958c-b6094e051053",2020-02-13
54,"673b8685-6204-4f23-9a90-abeef9e2a657",2020-02-13
55,"0af121df-9388-46ef-8bba-9cc657e12d04",2020-02-13
56,"a6e8e535-3ab5-4cc1-a2c4-271a3c1f246e",2020-02-13
57,"86f77872-198c-486c-972a-b18898bc51b0",2020-02-13
58,"a6ac6c7c-cd72-468a-b675-4cc193db85b0",2020-02-13
59,"3ac07582-9b59-4a2e-9c18-066b65f6eaa1",2020-02-13
60,"baa57da2-1176-496d-bb49-749f8b1051e7",2020-02-13
61,"bdecb1e3-d316-40fe-b051-5b90282abaea",2020-02-13
62,"97ec0d9f-241a-45e3-aabc-0ae7a4090b10",2020-02-13
63,"e9e26282-4bcd-47d0-9d5b-596b0a41b29e",2020-02-13
64,"c076bcf9-268a-496c-8029-007926ec1fa1",2020-02-13
65,"a1948ba6-7067-4158-a84b-5ff24f735f98",2020-02-13
66,"076ef9f3-c313-4051-a3a7-2a0046a8e37c",2020-02-13
67,"32ac0bd7-7f24-40a9-b305-11fc95e6fc26",2020-02-13
68,"1612e295-b771-4c58-88c8-e2c3d999cf2b",2020-02-13
69,"500afacc-6432-4641-99db-80b2215b05d7",2020-02-13
70,"8b479381-7e89-44f1-8765-64ee952d48cb",2020-02-13
71,"084ee0dd-be67-46f8-89ed-7e8a1bc9fe2c",2020-02-13
72,"c0c86fad-7ea9-4435-849e-f474b60c689b",2020-02-13
73,"6701f226-5a43-4475-ba11-f5b63cab3783",2020-02-13
74,"eda3edbb-cc65-46c8-8a4a-b32ab3fe5e3e",2020-02-13
75,"0a3496bf-fe13-410b-bbec-9c4a6abc5dfe",2020-02-13
76,"c73a733a-312d-472e-948f-e8ce1b1414f7",2020-02-13
77,"88cac2f7-e64c-4271-8e07-50ec052a921e",2020-02-13
78,"91213f34-2120-4438-85fb-dc02085d5361",2020-02-13
79,"21e56b70-11ad-40fb-9bde-feac733611e6",2020-02-13
80,"a702ceb3-f8af-4db4-9989-390589c8d01f",2020-02-13
