Camp,Block,Total Families,Total Individuals
Camp 8W,C08W_A,"1,176","5,019"
,C08W_B,"1,239","5,220"
,C08W_C,"1,489","6,625"
,C08W_D,"1,268","5,474"
,C08W_E,"1,060","4,766"
,C08W_F,"1,233","5,253"
Camp 8W Total,,"7,465","32,357"
Camp 9,C09_A,"1,434","5,858"
,C09_B,"1,185","4,938"
,C09_C,"1,067","4,412"
,C09_D,"1,170","4,716"
,C09_E,"1,421","5,856"
,C09_F,"1,212","5,378"
,C09_G,"1,226","5,659"
Camp 9 Total,,"8,715","36,817"
Kutupalong RC,Kutupalong RC,"3,555","18,223"
Kutupalong RC Total,,"3,555","18,223"
Nayapara RC,Nayapara RC,"5,708","27,267"
Nayapara RC Total,,"5,708","27,267"
,,,
,,,
,,,
