"X_index","X_uuid","reported_date"
36,"5e87cde9-f608-45f5-ae80-87fb230ced48",2020-02-13
37,"292b9893-2727-4fad-bc53-388cfd6df16d",2020-02-13
38,"0712fe03-4350-4244-a51d-06407cef88f0",2020-02-13
39,"a32fdbed-893d-47dc-847f-202de1d48629",2020-02-13
40,"9ab7595c-f95b-4d47-9879-62bd8d5bbcdd",2020-02-13
41,"2ffdb008-f04e-4c23-b6a1-313f80a52526",2020-02-13
42,"59b62479-f086-42bb-8c3b-3cd244b7849e",2020-02-13
43,"e1f68326-f6a5-4242-8fde-9cb7321a3365",2020-02-13
44,"6f0959c7-01c0-4cfe-ae0f-c0e3c9722867",2020-02-13
45,"5cae1558-91bd-4ad8-b93c-c4302faf39f9",2020-02-13
46,"62bc89ac-d4a1-45d8-8873-8f69fedefcde",2020-02-13
47,"1dab3620-95b1-4351-a9e6-246386c3b874",2020-02-13
48,"f5d11f3e-0060-41a9-9e13-c1ce30bbc109",2020-02-13
49,"be59fed7-4019-452e-bfbd-98e25b25a2d6",2020-02-13
50,"2ac50f4c-0e22-4c1f-bf43-f2123fa2042d",2020-02-13
51,"c4ac90ae-1846-47f1-9133-95fbdda261de",2020-02-13
52,"327cd1f3-0f4d-4baf-915e-34bd17500650",2020-02-13
53,"b32048fb-e641-4d9f-b5c4-458d741fd4d1",2020-02-13
54,"1189c1f4-b954-46ab-aeae-84ba221c4ba6",2020-02-13
55,"4b6bacc3-a9c8-4c57-b5ec-fc14f368c356",2020-02-13
56,"87cc260c-099e-46a7-bf5d-a5dbc12fba40",2020-02-13
57,"36ba6b40-09d1-48cf-805d-95276872cecd",2020-02-13
58,"46c63b91-072d-416b-9188-4d8c1f55fb42",2020-02-13
59,"e1b029c9-1cdf-4b53-a520-d3647ff4896a",2020-02-13
60,"1f909837-304d-4211-ab89-12f90b9325af",2020-02-13
61,"72062f23-3c20-4f79-b037-b945427a2365",2020-02-13
62,"d48df1c6-e0ad-44ef-9f58-e962d40a27ec",2020-02-13
63,"c9a8ef35-bb24-46cf-87d5-0afef7169521",2020-02-13
64,"aad11349-6989-4d16-bb55-44e33d15f36e",2020-02-13
65,"d96d012e-09dd-4dbb-8ba0-9054a1e00284",2020-02-13
66,"3f9f2042-d9de-49f0-a976-992bcbe2e7c8",2020-02-13
67,"cf3876c1-8b12-4190-89b2-f66d9086509b",2020-02-13
68,"89ff2993-0ccc-4629-8288-5460dc469bb1",2020-02-13
69,"2eb608e5-41cd-4ba7-b89d-4d74231b901e",2020-02-13
70,"286b875a-6ef4-49a4-b369-ba310ad29a01",2020-02-13
71,"7eddf06f-a701-4bb5-85ea-ffb03a13498a",2020-02-13
72,"c524c7d7-1f24-4c6e-a3e2-6db788c1013c",2020-02-13
73,"f465636d-0a5c-4408-888e-42aab46f4110",2020-02-13
74,"d857d6c3-b285-48d2-89ff-c8a67a11998f",2020-02-13
75,"db91faaf-7e4b-41ac-920d-2cf80abf7fbb",2020-02-13
76,"d3ce207c-88b7-4407-b126-755d611e8e81",2020-02-13
77,"b58f1020-c5d7-406a-a861-65b9de2f0c6f",2020-02-13
78,"105ef88c-47f4-469c-bffd-6377743cd3cb",2020-02-13
79,"a601164f-28c8-43aa-bd78-96c395991b06",2020-02-13
80,"74e51d5d-ac77-4506-8d26-94a438cba51a",2020-02-13
81,"c89ec33c-e24c-4b1c-b3a5-4b906b5e6b7a",2020-02-13
82,"fbafaeae-d963-4c29-914f-9cf515d8e3b6",2020-02-13
83,"007a819a-77b1-4b08-81d4-8d42d3a850c2",2020-02-13
84,"81e6a1ea-e3fd-43ef-a9e9-26682a038e7c",2020-02-13
85,"46a338a1-3a25-4c3a-ac6b-9328253ba752",2020-02-13
86,"4d7a222e-9eb0-4c20-967e-42592d7a7aa4",2020-02-13
87,"0b739c3e-ac8a-459e-8df4-8830a1bfecc2",2020-02-13
88,"50b26c27-56c6-4c4e-8ef7-2784e1df20c4",2020-02-13
89,"f66e77d1-882f-42f5-bfa7-5654eb3f8ecf",2020-02-13
90,"b7be5829-07c2-4089-b770-a16129607d52",2020-02-13
91,"80ab92f5-2bfc-4122-9fbd-c6227cbee243",2020-02-13
92,"cebf75fb-e90e-44f6-9d43-45705242f0b5",2020-02-13
93,"95e4373e-10e8-483c-9d7e-1823a626d051",2020-02-13
94,"c89eb2e7-ae19-4863-9414-7d7a96ce299e",2020-02-13
95,"53f235b5-3257-4e43-9da6-93f5812d0a04",2020-02-13
96,"736520f9-bfe2-41fc-b6bd-64974350a60e",2020-02-16
97,"9004ff31-ecc5-4183-965e-b001144337fa",2020-02-16
98,"89ebc74e-5fd0-46cd-b124-c3c5a541986a",2020-02-16
99,"2a115d43-e223-4f26-a4dd-ffd2b671d92b",2020-02-16
100,"e93b2282-c864-4633-a7ea-026673b60d1d",2020-02-16
101,"d13d4913-ba44-40ba-8fcd-1655aedb520a",2020-02-16
102,"da3d1fb1-b09f-4db9-bf77-920c2dc0acd4",2020-02-16
103,"bdf02440-4829-45f2-9a38-79e152b5c881",2020-02-16
104,"351aa4e1-347b-4d3c-ae1f-d7e1f6948401",2020-02-16
105,"8d38ba3c-22e5-453c-9201-3f43dd172602",2020-02-16
106,"0b567fe1-ff4b-4878-828e-9bd334f0e9d1",2020-02-16
107,"aa570ede-e8a7-4f80-8973-9de5a2e56094",2020-02-16
108,"089addf1-26be-47f4-a4e1-b80e79c38eb8",2020-02-16
109,"5a35535b-cbad-46cb-aa9a-20044bbed881",2020-02-16
